Title,Price,Location,Date
"Yamarin 5020, Yamaha 60hk, 2004 inkl Ny obromsad båtvagn",120 000 kr,Kalix,21 juni
Uttern 5500 DC Mercury 90 2-t,120 000 kr,Piteå,18 juni
Galeon 630 wa,120 000 kr,Haparanda,9 juni
Yamarin 50 TC 2007 Yamaha 50Hk 149h inkl obromsad 80 trailer,125 000 kr,Kalix,Igår 07:22
sandström 495 classic,125 000 kr,Arjeplog,29 juli
"Bosjö 25 välutrustad med Yanmar 4jh, 125 hkr",125 000 kr,Luleå,28 juni
HR480sc 70hk suzuki.  ink. trailer,125 000 kr,Överkalix,25 juni
Flipper 620  Suzuki 140,125 000 kr,Kalix,13 juni
Båt PIONER VIKING DARK LINE,129 000 kr,Överkalix,Igår 12:41
Sea Master 550 & Suzuki 90 HK,129 000 kr,Piteå,13 juli
Searay 270,130 000 kr,Kalix,3 juli
"Dubbelruff, Spoltoa, gummibåt mm",130 000 kr,Luleå,26 juni
Lami AC,130 000 kr,Haparanda,9 juni
Mv marin 5400,135 000 kr,Piteå,17 juli
Ryds 568 GTI-07,135 000 kr,Luleå,14 juni
HR 510 med Suzuki DF90 (4-takt),136 000 kr,Piteå,23 juli
Daycruiser 200 hk,138 000 kr,Kalix,22 juni
Nordanvind 600 selva 60hk med tiki 700 båttrailer,139 000 kr,Överkalix,29 juli
Ryds 568 gti,139 000 kr,Haparanda,8 juli
Sandström 495,140 000 kr,Piteå,26 juli
Yamarin 56 HT-06,140 000 kr,Luleå,14 juli
"Faster 555, Evinrude 90 e-tec",140 000 kr,Luleå,12 juli
Silverfox 485 DC,140 000 kr,Piteå,9 juli
Hajen,140 000 kr,Luleå,5 juli
"SISTA CHANSEN !Örnvik 610 MC,Ev, byte kom med förslag!",145 000 kr,Piteå,26 juli
Ryds 600 C / Yamaha 115,145 000 kr,Kalix,2 juli
Finnmaster 6000 offshore,148 000 kr,Piteå,3 juli
Sea Ray Sundancer 220DA (24fot),149 000 kr,Luleå,21 juli
Forbina 6000,149 000 kr,Luleå,12 juni
Örnvik 635 GP -98,149 000 kr,Luleå,10 juni
orrskär 760,150 000 kr,Piteå,I onsdags
Silver Hawk 540,150 000 kr,Luleå,I onsdags
örnvik 580 pilothouse,150 000 kr,Piteå,30 juli
Yamarin 575 Big Game med ny Honda 115hk,153 000 kr,Piteå,23 juli
Silver Hawk BR 540 DC -08,155 000 kr,Piteå,21 juli
Hardtop 575,155 000 kr,Piteå,4 juli
Bella 652,159 000 kr,Luleå,26 juli
Bayliner Discovery 192 2007 (NYTT DREV),159 000 kr,Luleå,23 juli
Uttern D55 Exclusive -04,159 000 kr,Piteå,22 juli
Sun runner 302 Ultra (Bytes),159 000 kr,Haparanda,22 juli
Bella 572C,159 000 kr,Luleå,16 juli
Flipper 630 HT -97,160 000 kr,Piteå,3 juli
Bella 561 HT med Yamaha 115hk,160 000 kr,Luleå,1 juli
Sandström Classic 560 mc,160 000 kr,Piteå,15 juni
Säljes: Flipper 777,160 000 kr,Kalix,15 juni
Nimbus 21 DC,160 000 kr,Luleå,12 juni
Sea Ray 220 Cuddy Cabin med nyare motor,165 000 kr,Kalix,28 juli
Buster X Yamaha 80hk -07,165 000 kr,Piteå,26 juni
Cortez 270 Century,165 000 kr,Piteå,5 juni
yamarin BR 5820-04,165 000 kr,Luleå,31 maj
Ryds 620,169 000 kr,Luleå,28 juli
yamarin 5910 3 ägare Norrbottens båt i mycket fint skick,169 000 kr,Luleå,20 juli
Bella 621 DC,169 000 kr,Luleå,14 juli
finnmaster 710,170 000 kr,Luleå,17 juli
Uttern 720 ar med yanmar 75 hk,170 000 kr,Haparanda,13 juli
"Searay sundancer 230 mercruiser 4,3mpi (bytes)",170 000 kr,Kalix,13 juli
"Uttern D55 Daycruiser, Special Edition150 Mercury",170 000 kr,Piteå,8 juli
Finnmaster 5700 Open,170 000 kr,Kalix,16 juni
Flipper 630 OC,175 000 kr,Luleå,30 juli
Dyning,175 000 kr,Piteå,25 juli
Brig Eagle 4 med Mercury 40 EFI,175 000 kr,Luleå,22 juli
Örnvik 650 C,175 000 kr,Piteå,24 juni
Flipper 630 OC -00,175 000 kr,Kalix,15 juni
Ryds 548 Sport 2015,178 000 kr,Kalix,29 juni
"BELLA, 530 EXCEL",179 000 kr,Luleå,27 juli
Jet båt yamaha ar 230 ho -06',180 000 kr,Piteå,22 juli
Campion Allante 595 Daycruiser,185 000 kr,Kalix,21 juni
chapparal 215 ssi -04,190 000 kr,Luleå,28 juli
Orrskär 850-84,190 000 kr,Piteå,14 juli
Albin 27 Wynne,195 000 kr,Kalix,5 juli
Ryds 620 HT,195 000 kr,Luleå,29 juni
TG-7000,195 000 kr,Luleå,6 juni
Yamarin 5920 DC Yamaha 115 fyrtakt ev Byte,199 000 kr,Luleå,30 juli
"Fin Regal Ventura 8.3, bogpropeller",199 000 kr,Luleå,26 juli
"Yamarin 59 HT-14 som blivit en""Dagskryssare""med Yamaha150-14",199 000 kr,Piteå,5 juni
SeaRay 270DA -87,200 000 kr,Piteå,30 juli
Flipper 850,200 000 kr,Kalix,13 juli
"Superfin Sandströms 565 cc med Mercury 60, lite gångtid,2018",209 000 kr,Luleå,13 juni
